trial_id,case,expected,observed,pass,expected_pulses,matched_pulses,missed_pulses,split_pulses,merged_groups,extra_output_pulses,detection_ratio,acquisition_limited_events,fs,source_width_s,latency_min_s,latency_max_s,minimum_valid_width_s,source_amplitude,output_noise,first_event_class,first_event_confidence,first_event_peak,estimated_tau_s,estimated_cutoff_hz
492,late,late pulse propagation,late pulse propagation,True,1,1,0,0,0,0,1.0,0,1000000.0,0.0003819169444486346,0.00010645679487542993,0.0027003076523354256,0.00021684729118233963,25.447778116449324,0.10992100455596839,late pulse propagation,high,25.743391184832223,,
493,late,late pulse propagation,late pulse propagation,True,1,1,0,0,0,0,1.0,0,625000.0,0.000326006418925882,0.0001654642856254251,0.003216624799827156,0.0001534672808116461,20.79654061486451,0.10007360945635516,late pulse propagation,high,21.059982655612096,,
494,late,late pulse propagation,late pulse propagation,True,1,1,0,0,0,0,1.0,0,500000.0,0.0006097476976339714,0.00013963807001301468,0.0032981871768737545,0.00029157088728702505,26.75952743635181,0.09850812943950223,late pulse propagation,high,27.058182499117564,,
495,late,late pulse propagation,late pulse propagation,True,1,1,0,0,0,0,1.0,0,400000.0,0.0004924261142273725,9.922152202182971e-05,0.0031141246287420387,0.0002770472424385684,22.141755335860157,0.07337844840710085,late pulse propagation,high,22.311651916169467,,
496,late,late pulse propagation,late pulse propagation,True,1,1,0,0,0,0,1.0,0,400000.0,0.000689650207196216,0.00017417864493967917,0.002102949478585485,0.00029994844879981146,21.46235770466609,0.06133382687838583,late pulse propagation,high,21.64556784598557,,
497,late,late pulse propagation,late pulse propagation,True,1,1,0,0,0,0,1.0,0,1000000.0,0.0005817271652114968,0.0001555893795550363,0.003074787985854009,0.0002991755273058212,23.134226328844022,0.06918311220291402,late pulse propagation,high,23.342476280232777,,
498,late,late pulse propagation,late pulse propagation,True,1,1,0,0,0,0,1.0,0,1000000.0,0.00038501663981969686,0.00024362622681050635,0.0022453308255017154,0.0001649608969869453,27.69341355174099,0.07148264526526824,late pulse propagation,high,27.894976428985636,,
499,late,late pulse propagation,late pulse propagation,True,1,1,0,0,0,0,1.0,0,800000.0,0.00023365824456520642,0.00016826695906471125,0.003214096494198791,0.0001122483658884706,22.750215933762732,0.044571261510585033,late pulse propagation,high,22.853456749807552,,
500,late,late pulse propagation,late pulse propagation,True,1,1,0,0,0,0,1.0,0,400000.0,0.00040521972519817154,0.00015093910811005923,0.0023084299255426003,0.00021692124558933418,20.555007764770743,0.10226601466672428,late pulse propagation,high,20.817171758615757,,
501,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,625000.0,0.0002190309012142008,0.00010927823281976834,0.0032913727742449584,8.761236048568033e-05,24.62412902952958,0.05684165636065083,pulse merging,high,24.785666135705622,,
502,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1250000.0,0.0002358372983964019,0.00012078337063590601,0.002783875211225161,9.433491935856077e-05,27.60733944213319,0.05030773226290302,pulse merging,high,27.770493368523603,,
503,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1250000.0,0.0002637753367042212,0.00011391287812992582,0.0020522622426933203,0.00010551013468168849,24.290878010316447,0.07271347486000855,pulse merging,high,24.53241415926587,,
504,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1250000.0,0.000227361553650475,0.00022819443977305855,0.0026801316460552437,9.094462146019e-05,26.127788491689238,0.10470858126949839,pulse merging,high,26.456273786319287,,
505,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1000000.0,0.0002351826732696306,0.00023324767991180124,0.0030670444114346525,9.407306930785224e-05,23.384126513936344,0.062066553588463094,pulse merging,high,23.56910280565852,,
506,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,500000.0,0.00023413619942217785,0.00013574860567126863,0.0020156258375679916,9.365447976887115e-05,22.571904265960285,0.11162671681451272,pulse merging,high,22.886135887502945,,
507,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,625000.0,0.00030707117725392477,0.00012079034392146904,0.002393265858100897,0.00012282847090156992,25.683985489529647,0.04371725165609279,pulse merging,high,25.80901553515322,,
508,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,400000.0,0.0002140971859974064,8.614397090141592e-05,0.002165244277230947,8.563887439896256e-05,24.410851430960687,0.0728423509893541,pulse merging,high,24.59513566443584,,
509,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1000000.0,0.00019490039262073944,0.00012916442227378622,0.0020958802201303897,7.796015704829577e-05,26.803583386991676,0.021088703635720973,pulse merging,high,26.866863692764024,,
510,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1250000.0,0.0002801747525882171,0.0001968629434246895,0.0030984136114467005,0.00011206990103528686,27.0087352258691,0.08886655803517159,pulse merging,high,27.321717941338047,,
511,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,500000.0,0.00028765604223792395,8.062392628144832e-05,0.0031925083266474076,0.00011506241689516958,21.960527456161522,0.06521560744064622,pulse merging,high,22.18200630131796,,
512,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,400000.0,0.0001954961153463609,0.0001951645771043471,0.0025656709402958333,7.819844613854437e-05,20.711329207884397,0.07309083419265448,pulse merging,high,20.917338165502464,,
513,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1250000.0,0.0002505767652777962,0.00010053723924001128,0.0030718284566836267,0.00010023070611111848,23.079789842860578,0.024635645337838068,pulse merging,high,23.16764061158502,,
514,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1250000.0,0.0002391636895469165,0.00023677251381224937,0.0025213325905241815,9.56654758187666e-05,24.860039669004273,0.062088533519325695,pulse merging,high,25.061359449785986,,
