scenario_id,subtype,seed,truth_decay_rate_per_s,truth_frequency_hz,decay_rate_per_s,dominant_frequency_hz,damping_ratio,quality_factor,confidence_tier,uncertainty_fraction,lower_bound_per_s,upper_bound_per_s,estimator_count,estimator_names,estimator_spread_fraction,selected_input_model,impulse_fit_r2,reconstruction_r2,nonlinear_alpha,decrement_alpha,esprit_alpha,classification_unchanged,accepted_decay_rate_per_s,accepted_damping_ratio,accepted_quality_factor,accepted_lower_bound_per_s,accepted_upper_bound_per_s,damping_status,event_frequency_mad_fraction,event_shift_mad_samples,secondary_peak_ratio,accepted_relative_error,truth_inside_final_interval,candidate_relative_error,event_count_stationarity,frequency_relative_error
76,amplitude_jitter,44663667,7298.013554036613,28788.439042039194,7582.229084486884,28614.701357587743,0.0421348993493735,11.866647546825918,high,0.35,4928.448904916475,10236.009264057295,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.09549538107253891,combined,0.9943087923876199,0.7612523530475872,7582.229084486884,9344.972468838323,8620.90461303596,True,7582.229084486884,0.0421348993493735,11.866647546825918,3791.114542243442,11373.343626730326,accepted_stationary_single_mode,0.0,0.0,0.0,0.038944231652333454,1,0.038944231652333454,135.0,0.0060349810629796675
79,frequency_jitter,742139190,7833.50947154335,18497.805399628225,11041.758887782618,18496.05579036241,0.0945862054791456,5.286183090516726,high,0.35,7177.143277058703,14906.374498506535,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.02792340281547208,combined,0.9862808569887672,0.8852171602399524,11041.758887782618,5206.412695311659,11350.082368997491,True,11041.758887782618,0.0945862054791456,5.286183090516726,5520.879443891309,16562.638331673927,accepted_stationary_single_mode,0.009345794392523234,0.0,0.022073256974038852,0.4095545461320777,1,0.4095545461320777,130.0,9.458469413079465e-05
84,amplitude_jitter,2068132861,4665.9742627979995,22421.146946150337,4676.925533715179,22344.10990578143,0.03329482042080549,15.017350857599359,high,0.35,3040.0015969148662,6313.849470515492,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.007320901405455372,combined,0.9992808988723259,0.8330192800671494,4676.925533715179,3987.8186347344927,4711.1648444281645,True,4676.925533715179,0.03329482042080549,15.017350857599359,2338.4627668575895,7015.3883005727685,accepted_stationary_single_mode,0.0,0.0,0.02292539332982008,0.00234704914780487,1,0.00234704914780487,113.0,0.0034359098824840425
87,frequency_jitter,782749785,7115.639519676556,24967.93070317321,6626.94362049302,25065.470851846356,0.0420410354619553,11.893141891152302,high,0.35,4307.5133533204635,8946.373887665577,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.029420414795664384,combined,0.9971253933900748,0.9051320702263634,6626.94362049302,6821.911050635406,6308.812875484654,True,6626.94362049302,0.0420410354619553,11.893141891152302,3313.47181024651,9940.41543073953,accepted_stationary_single_mode,0.009708737864077716,0.0,0.02436615727326639,0.06867912544363267,1,0.06867912544363267,234.0,0.00390661724564742
89,standard,1665083082,2976.118571645703,11204.806103004907,3186.3715883263,11135.024831291943,0.04549623121151,10.989921289865126,high,0.35,2071.141532412095,4301.601644240505,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.04715974227711769,combined,0.9977672202088964,0.7227007817142987,3186.3715883263,3653.897976644699,3336.6400512308983,True,3186.3715883263,0.04549623121151,10.989921289865126,1593.18579416315,4779.55738248945,accepted_stationary_single_mode,0.0,0.0,0.05444033110098438,0.07064672042429186,1,0.07064672042429186,54.0,0.0062277982386727505
93,rising_only,1170600948,7078.586830510534,18478.496029294016,7009.204790319196,18453.07006333645,0.06034316832978126,8.285942118044773,high,0.35,4555.983113707478,9462.426466930916,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.015350325076638437,rising,0.9997853066382802,0.9210533536912068,7009.204790319196,7956.663528991869,7116.798362379327,True,7009.204790319196,0.06034316832978126,8.285942118044773,3504.602395159598,10513.807185478794,accepted_stationary_single_mode,0.0,0.0,0.02182362497747106,0.009801679608178798,1,0.009801679608178798,97.0,0.0013759759407506776
100,amplitude_jitter,489491195,8923.9305937797,25135.06373543452,8772.745293158267,24886.682649345163,0.05601524327423361,8.926141720962487,high,0.35,5702.284440552873,11843.206145763661,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.03866223027942011,combined,0.9887012760346007,0.7061954661268894,8772.745293158267,9504.986526718565,9111.91919186505,True,8772.745293158267,0.05601524327423361,8.926141720962487,4386.372646579133,13159.1179397374,accepted_stationary_single_mode,0.0,0.0,0.017025773231436968,0.01694155944319142,1,0.01694155944319142,191.0,0.00988185622697262
101,rising_only,1446063744,9637.388777227392,34378.4936041817,9613.303112771124,34054.98907848793,0.04488220211994171,11.140273346299198,high,0.35,6248.647023301231,12977.959202241018,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.10631954489931505,rising,0.9801013466695047,0.6956096193346046,11137.67607158715,8591.221100842129,9613.303112771124,True,9613.303112771124,0.04488220211994171,11.140273346299198,4806.651556385562,14419.954669156687,accepted_stationary_single_mode,0.009900990099009962,0.0,0.007765564483287387,0.0024991898752887583,1,0.0024991898752887583,231.0,0.009410084380614523
103,frequency_jitter,2002303459,9009.543877969194,17477.386638556487,7720.596335105987,17304.08018619059,0.07083212123846126,7.058944321555968,high,0.35,5018.387617818892,10422.805052393083,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.15008276622170244,combined,0.9758951162168871,0.8508410648951572,7720.596335105987,10538.069048730016,8879.324789959832,True,7720.596335105987,0.07083212123846126,7.058944321555968,3860.2981675529936,11580.89450265898,accepted_stationary_single_mode,0.009803921568627428,0.0,0.0743403081937085,0.14306468344252554,1,0.14306468344252554,97.0,0.009916039276923133
105,standard,1403238505,8988.043352922105,48320.92651992342,12142.499179620638,48560.6832470598,0.03976489048821825,12.573906123245647,high,0.35,7892.624466753415,16392.373892487863,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.16034861912087722,combined,0.979776274562116,0.7662113911460393,12142.499179620638,18943.291432783575,10195.466203492084,True,12142.499179620638,0.03976489048821825,12.573906123245647,6071.249589810319,18213.748769430957,accepted_stationary_single_mode,0.0,0.0,0.04667570733896638,0.35096134974393367,1,0.35096134974393367,220.0,0.00496175765664438
108,amplitude_jitter,417972731,1851.895257389311,12672.604271235567,1591.1443101986406,12635.56722860969,0.020037694680780545,24.952970287524266,high,0.35,1034.2438016291164,2148.044818768165,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.07204943342996094,combined,0.9974758882963548,0.6780632158800709,1591.1443101986406,5892.76650580477,1705.7853562537587,True,1591.1443101986406,0.020037694680780545,24.952970287524266,795.5721550993203,2386.716465297961,accepted_stationary_single_mode,0.009900990099009813,0.0,0.0843225688529755,0.1408022112213091,1,0.1408022112213091,50.0,0.0029226070532276556
117,rising_only,1217628123,6676.752564550148,13684.055827404842,6057.788854580576,13580.28534471399,0.07081636719601483,7.06051467757495,high,0.35,3937.5627554773746,8178.014953683779,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.08895944817373246,rising,0.995773622318759,0.8632158939760439,6057.788854580576,7431.547410060349,6596.686408237051,True,6057.788854580576,0.07081636719601483,7.06051467757495,3028.894427290288,9086.683281870864,accepted_stationary_single_mode,0.0,0.0,0.0068285069657053445,0.09270430557153275,1,0.09270430557153275,123.0,0.00758331331000803
118,two_mode,727422810,6399.685300840647,10415.65765984941,5754.250350327735,10101.31649440678,0.09029283569586212,5.537537902610292,high,0.35,3740.2627277130277,7768.237972942443,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.0037795657072717615,combined,0.9739099694834916,0.7343025190345471,5775.99891762289,4624.533422289584,5754.250350327735,True,5754.250350327735,0.09029283569586212,5.537537902610292,2877.1251751638674,8631.375525491603,accepted_stationary_single_mode,0.009615384615384654,0.0,0.06377610606119395,0.10085417019304517,1,0.10085417019304517,55.0,0.030179675226304974
