scenario_id,subtype,seed,truth_decay_rate_per_s,truth_frequency_hz,decay_rate_per_s,dominant_frequency_hz,damping_ratio,quality_factor,confidence_tier,uncertainty_fraction,lower_bound_per_s,upper_bound_per_s,estimator_count,estimator_names,estimator_spread_fraction,selected_input_model,impulse_fit_r2,reconstruction_r2,nonlinear_alpha,decrement_alpha,esprit_alpha,classification_unchanged,accepted_decay_rate_per_s,accepted_damping_ratio,accepted_quality_factor,accepted_lower_bound_per_s,accepted_upper_bound_per_s,damping_status,event_frequency_mad_fraction,event_shift_mad_samples,secondary_peak_ratio,accepted_relative_error,truth_inside_final_interval,candidate_relative_error,event_count_stationarity,frequency_relative_error
67,missing_edges,1174268609,3951.6215931322504,21502.08884103028,4171.889989033652,21134.27347768156,0.0314015749619332,15.922768224400489,medium,0.55,1877.350495065143,6466.42948300216,2,"nonlinear_deconvolved_fit,cadzow_esprit",0.02138661096259413,combined,0.9974473919425392,0.7127422574701868,4171.889989033652,4367.2202233545295,4350.335165382059,True,,,,,,unresolved,,,,,0,0.055741267403796514,,0.017106029375474202
68,amplitude_jitter,510955901,4400.612352953347,18869.747019217906,3479.4514404181405,18698.61186505407,0.029602689564551452,16.890357172097588,high,0.35,2261.6434362717914,4697.25944456449,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.05710344598993559,combined,0.9933899719111674,0.6834747290859549,3479.4514404181405,4404.650197243415,3678.1401078206613,True,3479.4514404181405,0.029602689564551452,16.890357172097588,1739.7257202090702,5219.1771606272105,accepted_stationary_single_mode,0.009900990099009887,0.0,0.019569473314036596,0.20932562076661793,1,0.20932562076661793,109.0,0.009069287149930693
69,rising_only,1038686500,8941.184955706196,11506.954122369985,8690.89821522899,11437.357146207325,0.12006216543183723,4.16450926236096,high,0.35,5649.0838398988435,11732.712590559137,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.008649977168174651,rising,0.9964307833360164,0.8684113304183733,8690.89821522899,8615.72214409633,8956.476066091638,True,8690.89821522899,0.12006216543183723,4.16450926236096,4345.449107614495,13036.347322843485,accepted_stationary_single_mode,0.0,0.0,0.012567925024417764,0.027992569409659163,1,0.027992569409659163,49.0,0.00604825355368028
70,two_mode,1910859711,8587.5039062056,29730.95513423999,10303.293544197759,29189.870489239245,0.05608927329597148,8.914360458221728,medium,0.55,4636.482094888991,15970.104993506528,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.10107457412659496,combined,0.9325173168974451,0.7457562325468314,10303.293544197759,8874.00275473232,11344.694551278842,True,,,,,,unresolved,,,,,0,0.19980074032365505,,0.018199369732915124
71,frequency_jitter,1324682155,2115.069922575682,40093.379320651955,6087.962248200989,40210.829590872454,0.024089234756742548,20.756159547992723,medium,0.55,2739.583011690445,9436.341484711533,2,"nonlinear_deconvolved_fit,cadzow_esprit",0.3040192301660815,combined,0.940708278103796,0.802944534290903,6087.962248200989,0.00015395478758518092,2386.247056244526,True,,,,,,unresolved,,,,,0,1.8783739881219685,,0.002929418078759973
72,delay_jitter,1719337071,7067.146269414715,14006.893091948274,5764.754756895952,13715.138341175872,0.06674691387058852,7.490983043342187,high,0.35,3747.0905919823686,7782.418921809535,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.01621423172135005,combined,0.962367702264191,0.723877571201304,5764.754756895952,6660.3983364433525,6566.9272669982865,True,,,,,,candidate_only_nonstationary,0.0,1.0,0.06244857535942907,,0,0.18428817840593872,60.0,0.02082936942954991
73,standard,281743858,4186.094780513606,35508.72979162029,4268.779253596108,35612.65503087647,0.01907394210814913,26.21377359567326,medium,0.55,1920.9506641182484,6616.607843073967,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.13413416639799283,combined,0.9488147163372715,0.9058953965911308,7972.537189323697,4268.779253596108,3696.190106877948,True,,,,,,unresolved,,,,,0,0.01975217414268807,,0.002926751811908189
74,weak_noisy,1194172160,2012.6433796078459,20290.01504502771,1946.877820073239,20233.417503607652,0.015312237857515247,32.65362023844215,medium,0.55,876.0950190329575,3017.6606211135204,2,"nonlinear_deconvolved_fit,cadzow_esprit",0.03215597316429137,combined,0.9995180518466864,0.6821694660613036,1946.877820073239,0.0004490859042079574,2072.0853219460973,True,,,,,,unresolved,,,,,0,0.03267621089803845,,0.002789428262840458
75,missing_edges,341736383,2041.8830697021372,14627.829525901345,2177.0744622263364,14644.816310395932,0.023653094408970166,21.138883198740402,high,0.35,1415.0984004471188,2939.0505240055545,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.005928117756325165,combined,0.9983280859894866,0.47965999084673183,2177.0744622263364,6631.767497742231,2164.1685084499704,True,,,,,,candidate_only_nonstationary,0.010000000000000033,0.0,0.05755831516604936,,0,0.06620917452629671,73.0,0.0011612648660219316
76,amplitude_jitter,44663667,7298.013554036613,28788.439042039194,7582.229084486884,28614.701357587743,0.0421348993493735,11.866647546825918,high,0.35,4928.448904916475,10236.009264057295,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.09549538107253891,combined,0.9943087923876199,0.7612523530475872,7582.229084486884,9344.972468838323,8620.90461303596,True,7582.229084486884,0.0421348993493735,11.866647546825918,3791.114542243442,11373.343626730326,accepted_stationary_single_mode,0.0,0.0,0.0,0.038944231652333454,1,0.038944231652333454,135.0,0.0060349810629796675
