frequency_hz,psd_v2_per_hz
6777.343749999806,9.340594640971569e-08
6796.874999999806,4.781495527124969e-08
6816.406249999805,3.862286344615011e-08
6835.9374999998045,5.130276231796203e-08
6855.4687499998045,8.46943998304452e-08
6874.999999999804,3.562431158301449e-08
6894.531249999804,6.073846558279361e-08
6914.062499999803,8.424348397096951e-08
6933.593749999802,8.59117645265647e-08
6953.124999999802,8.341631789698311e-08
6972.656249999801,9.960067183494271e-08
6992.1874999998,2.7973803363760125e-08
7011.7187499998,2.3251377274609437e-08
7031.249999999799,6.238139719791542e-08
7050.781249999799,9.774240072107479e-08
7070.312499999798,7.655043338429668e-08
7089.843749999797,8.996770370190794e-08
7109.374999999797,5.753000843666642e-08
7128.906249999796,4.363199542286662e-08
7148.437499999796,4.022925985006733e-08
7167.968749999795,9.17219585706336e-08
7187.499999999794,5.1643518709791317e-08
7207.031249999794,4.783653481525948e-08
7226.5624999997935,7.950346566299363e-08
7246.093749999793,8.771199031360727e-08
7265.624999999793,2.2671840685234342e-07
7285.156249999792,1.9171092986326786e-07
7304.687499999792,1.3832826232257632e-07
7324.218749999791,9.219753543183006e-08
7343.74999999979,1.5230876897276334e-07
7363.28124999979,1.0383050325470548e-07
7382.812499999789,5.7199663740701776e-08
7402.343749999789,4.123244207049213e-08
7421.874999999788,3.003063019012607e-08
7441.406249999787,1.8190193817996765e-08
7460.937499999787,8.200173277925936e-08
7480.468749999786,6.879880662960172e-08
7499.999999999785,6.167585993364476e-08
7519.531249999785,7.164321308029459e-08
7539.062499999784,1.2276650111599507e-07
7558.593749999784,1.4188151860174973e-07
7578.1249999997835,2.292713830534989e-07
7597.656249999783,2.703185067956014e-07
7617.187499999783,1.642032230740876e-07
7636.718749999782,2.2653598161713163e-07
7656.249999999782,1.854502019107894e-07
7675.781249999781,1.0730523387538849e-07
7695.31249999978,1.854728882755507e-07
7714.84374999978,9.290277058753902e-08
7734.374999999779,1.5690791109736752e-08
7753.906249999779,3.797359548875632e-08
7773.437499999778,9.228149276006918e-08
7792.968749999777,1.0245006143485391e-07
7812.499999999777,6.839105365325058e-08
7832.031249999776,4.098815490114927e-08
7851.562499999775,1.0200141360553303e-08
7871.093749999775,4.1102626865221e-08
7890.624999999774,7.914939764881046e-08
7910.156249999774,1.0869987848886472e-07
7929.6874999997735,3.5158978308861714e-08
7949.218749999773,1.9989411142926895e-07
7968.749999999773,2.761120358349971e-07
7988.281249999772,1.0766525359062522e-07
8007.812499999772,1.3677491578417586e-07
8027.343749999771,1.1842919494987738e-07
8046.87499999977,3.377819616361357e-07
8066.40624999977,1.489123950014724e-07
8085.937499999769,5.502234208336862e-08
8105.468749999768,2.30317037614116e-08
8124.999999999768,1.0121857597670097e-07
8144.531249999767,1.6920952825864818e-07
8164.062499999767,7.09462247381199e-08
8183.593749999766,3.818289164249554e-08
8203.124999999765,5.859427067324245e-08
8222.656249999765,2.9366945846521594e-08
8242.187499999765,6.3834303682336984e-09
8261.718749999764,2.817757502708321e-08
8281.249999999764,4.132446752118772e-08
8300.781249999764,5.956163972632537e-08
8320.312499999762,8.784236639164239e-08
8339.843749999762,1.0421279998869506e-07
8359.374999999762,8.79164145353036e-08
8378.90624999976,3.324354514955925e-08
8398.43749999976,1.9517168109841333e-08
8417.96874999976,1.4671870600086057e-08
8437.49999999976,4.39228279386598e-08
8457.031249999758,1.0180415852575599e-07
8476.562499999758,9.890662171042749e-08
8496.093749999758,1.1725971545281044e-07
8515.624999999756,8.390878176698324e-08
8535.156249999756,1.1488485121988748e-07
8554.687499999756,1.0804194995382949e-08
8574.218749999754,1.5749781733762863e-08
8593.749999999754,2.8751564466051783e-08
8613.281249999754,4.841505206322708e-08
8632.812499999753,6.781967205030265e-08
8652.343749999753,1.261203601740032e-07
8671.874999999753,1.8709796439619572e-07
8691.406249999753,3.687075982438282e-08
8710.93749999975,8.817780002525119e-08
8730.46874999975,5.511730125636132e-08
8749.99999999975,3.2871842618043785e-08
8769.531249999749,1.3187696784877466e-07
8789.062499999749,1.2132458533339713e-07
8808.593749999749,1.1971105492549985e-07
8828.124999999747,4.523760116571245e-08
8847.656249999747,1.4112595444101044e-07
8867.187499999747,6.992921439476338e-08
8886.718749999745,4.573116898783837e-08
8906.249999999745,6.090483956903755e-08
8925.781249999745,7.992200444120256e-08
8945.312499999745,1.4527371734251489e-07
8964.843749999744,5.6011734271095496e-08
8984.374999999744,9.934062474512958e-08
9003.906249999744,2.2926952429218942e-07
9023.437499999742,1.6941566918062766e-07
9042.968749999742,1.2753125609344783e-07
9062.499999999742,9.4714722647423e-08
9082.03124999974,4.521541678614176e-08
9101.56249999974,5.1122207175415596e-08
9121.09374999974,4.217126103102716e-08
9140.624999999738,5.446942651232717e-08
9160.156249999738,5.246845230716698e-08
9179.687499999738,3.439185617618673e-08
9199.218749999738,9.24227879524777e-08
9218.749999999736,8.92857675884526e-08
9238.281249999736,6.699623305051784e-08
9257.812499999736,4.83498405245097e-08
9277.343749999734,4.0995956134205427e-08
9296.874999999734,1.6039766931401325e-08
9316.406249999734,8.508277944205118e-08
9335.937499999733,1.4463639293030652e-07
9355.468749999733,1.490442142629516e-07
9374.999999999733,1.1131951878510787e-07
9394.531249999733,1.1902879194332346e-07
9414.06249999973,1.9150844865684227e-07
9433.59374999973,2.139941389942587e-07
9453.12499999973,1.6215402252004195e-07
9472.656249999729,3.7813500066033984e-08
9492.187499999729,7.059452670447657e-08
9511.718749999729,1.0983552974126534e-07
