capture_index,frequency_hz,amplitude,phase_rad,prominence,local_floor
19,60.0,0.06661529877028041,1.1833568464601318,0.06657854227764645,0.0005083063935517719
19,310.0,0.011023677595121326,1.9102982095648604,0.010942912226830213,0.000747221174183494
20,60.0,0.0729783976481302,-2.2708978862385782,0.07283282053939208,0.0006887220467262617
20,310.0,0.009021364384745906,1.9288871215041818,0.00912521538284831,0.0005347147512261438
21,60.0,0.05888856114597294,0.6420809444746184,0.05881718579492822,0.0005567426413364478
21,310.0,0.006888734078353446,1.9982744757830624,0.006969067415339968,0.000611721886044763
22,1.0,0.0013714223366333054,1.7438068101958737,0.0012860016953759484,8.542064125735694e-05
22,60.0,0.06640394400040953,1.1345766084129778,0.06653366272580473,0.000577771647143326
22,180.0,0.002584160569474091,-1.4613019598178156,0.0026466030031586474,0.0005234578290384016
22,310.0,0.0040099750257727405,1.8373296619492947,0.003991761799411703,0.0006338715162544226
23,60.0,0.08063907619686801,-2.6049400936175546,0.08023306623647602,0.0010856240450522374
24,60.0,0.07441733625446494,1.4988185573419692,0.07430788515666112,0.0006849195209465904
25,60.0,0.05322823193492719,-1.251663233882229,0.05292097803816788,0.0008885530279151483
25,310.0,0.0036791817926330704,-1.2769071069079956,0.0038381888216564683,0.0005929823960675466
26,60.0,0.07709801367441989,-2.4651824804415288,0.0768382105117758,0.0007936795189154501
26,310.0,0.008028741055735384,-1.3336562766304814,0.008013640125324791,0.0006613308130927327
26,550.0,0.0024510222019978036,2.5918316207144567,0.0024763854932505084,0.0005732002538832365
27,60.0,0.049093742559770205,-0.37763110139529316,0.048753907661923,0.00112769532265273
27,310.0,0.009067044464103573,-1.3656112997477377,0.009213520264270945,0.0006971623153469989
28,60.0,0.06967257481861786,-2.1490776231306854,0.06955959851047955,0.000835390527923769
28,310.0,0.01152391343890916,-1.2773869720599849,0.01144765008213099,0.0007880233023375316
28,518.0,0.0016783258546385859,2.9257275389873394,0.0019310286424501165,0.0003878923490818749
29,60.0,0.0775055545027512,1.597257401882523,0.07742408797406417,0.0007400117963331845
29,310.0,0.01368130980152659,-1.303973448188859,0.013335499315461647,0.0009731092094615571
30,60.0,0.09103215289423455,2.9844595076512883,0.09076234907233538,0.0007506885668992551
30,310.0,0.016710460669236066,-1.268726984044811,0.016659902493567795,0.000652193368994805
31,60.0,0.05140066167963079,0.06867374179310438,0.05140356909465404,0.0007300760882530587
31,310.0,0.01983426013177988,-1.3091480080466393,0.019696565030892156,0.0008809513362914634
32,28.0,0.002078281815159187,-2.308755750009925,0.0019684625033930927,0.00045443342771233497
32,60.0,0.07702349631980125,1.6038798346730343,0.0768589651227373,0.0005978052539462675
32,310.0,0.022119439665621417,-1.2875585969997916,0.022255648961608296,0.000573046655189974
33,60.0,0.09088641651187797,2.803033939557633,0.09086639878951668,0.0006544468328325709
33,310.0,0.025278637908401416,-1.2791115341182175,0.02532481105459435,0.0005319433795394627
34,60.0,0.08011538147833562,1.7762136497628853,0.07987783935373069,0.0008941401332452326
34,180.0,0.0022091047871573982,-1.3026535220892368,0.002297978158189903,0.0005045551902397735
34,310.0,0.026920236229073073,-1.2828009929892057,0.02699197611285315,0.0006196145850957032
35,60.0,0.06509041581830037,-1.9193529871823474,0.06500557014335978,0.0006538358220648654
35,310.0,0.029689658064456354,-1.2713475669105712,0.029686641680603993,0.0006455431657236609
35,680.0,0.0025738120213303277,-2.6948456427670915,0.0025733953874812233,0.0005545589267440132
36,60.0,0.07530066871291778,-2.4208016242291976,0.07533528218622569,0.0005940886721595319
36,310.0,0.03252663817824018,-1.270302319221406,0.032500744856186675,0.000614666429484458
37,60.0,0.08732555022452297,-3.0675681602349245,0.08707813018226672,0.0007790810855730193
37,310.0,0.03435379339425597,-1.2865767486692894,0.03423742714571451,0.000779137482831737
37,680.0,0.002609810214115733,3.049130809721622,0.0027495044688590747,0.0005206809060822124
38,60.0,0.06315195052525117,-1.8068002004169652,0.06298136873531016,0.0007991798047825584
38,310.0,0.037541432112207875,-1.2974950885406218,0.03735748478395672,0.0008210453795959957
39,60.0,0.05416993682074341,0.38491718033194855,0.05396159155190356,0.0007684001023786968
39,310.0,0.040866138041986896,-1.2755258435638281,0.040735379109738006,0.0006903522767317318
