Family,Consensus RMSE vs truth,Collective exp-fit RMSE vs truth,Single-capture exp-fit RMSE vs truth,Collective boundary MAE (samples),Single boundary MAE (samples),Collective pole log-MAE,Single pole log-MAE,Alignment lag MAE (samples),Median pointwise spread
60,0.007510191945430236,0.005607793882304347,0.03395617082076874,1.2,2.8,0.09970207870654567,0.8289872646076484,0.17,0.047209620698083966
61,0.010293942052947098,0.010286098622070054,0.02237197648490999,1.8,6.0,0.40482923646397717,1.3400295939942328,0.98,0.04179915727972543
62,0.006259909780254421,0.013793639060124036,0.02488877277598024,11.8,17.2,0.48006452424689994,1.2992414200875455,0.18,0.04367411331325338
63,0.00905145863717523,0.009133379211260664,0.018175677650038996,2.2,2.0,0.3533425799894992,0.394146529184113,0.19,0.04771084271206996
64,0.008847438026170015,0.00792727279152277,0.06083956221068958,5.0,24.0,0.2100536302259036,1.3637881160258045,0.67,0.04610605238702821
65,0.015645021131231757,0.014734582774958264,0.11513785021412272,3.4,26.6,0.39226239826603226,1.394011114913839,1.37,0.04764582760770607
66,0.009738090300371134,0.010709561102535311,0.025108410665566558,29.8,6.8,0.79464811219985,1.1880429589451396,0.63,0.043942293472373856
67,0.007607010598225524,0.006299782106155695,0.06228669478994587,1.4,7.2,0.07484462588687257,1.1832383251776633,0.4,0.0455416251740082
68,0.010956498789960857,0.015093507553368633,0.017682710840262114,17.4,16.8,0.3284507304633482,1.3549027959554498,0.31,0.04636581793535598
69,0.0117542435536489,0.017601959139607975,0.05859266814437415,5.6,14.8,0.4691303447866389,0.9397365643972346,0.6,0.04608837263440739
70,0.007330061452181504,0.005318192634776569,0.0410338380696652,1.0,8.4,0.5251467173554106,1.2509439707851306,0.49,0.044643946078483265
71,0.010470167711178396,0.009604070176029579,0.03147559975576958,0.8,6.6,0.08091446410820145,0.7357926340064654,0.86,0.04585762603168829
72,0.012227840948468705,0.011493216415599942,0.042563507445304016,1.8,9.8,0.5500933529619544,1.4193203308842957,0.79,0.04381670647744658
73,0.006926470389466905,0.004792360437848073,0.056656357345521526,3.0,5.6,0.19026914340389012,1.938990819304854,0.28,0.04600076037387133
74,0.014787974933459026,0.01866365113824697,0.048609848681358744,5.4,6.0,0.45640806525563465,1.5540643196423989,1.2,0.044414226654447414
75,0.0104527412517114,0.00945632573711303,0.040314197897433936,6.2,6.8,0.2866708663121749,0.9655148412070925,0.49,0.045206370704556346
76,0.007176501558671265,0.010796887596160178,0.026813860960881397,5.4,34.8,0.898932145791364,1.98051898117894,0.56,0.045733541266565605
77,0.010128157357963862,0.010819339094813845,0.043966022237216025,4.2,13.4,0.19989862583891005,1.0675252179069463,0.89,0.04541333795421075
78,0.029739002628647898,0.029480020045606122,0.05691859519295916,9.0,6.0,1.3023992264539261,1.4821253623202884,0.42,0.04657277513782074
79,0.019916791175640124,0.01939626774986217,0.05750806134422613,1.8,8.6,0.12021393590834024,1.1025941558105492,1.0,0.047263485693695206
80,0.006328722423166742,0.005560194676259289,0.011855504503281995,1.0,1.0,0.2130042310348427,0.7245324638852585,0.36,0.044966061320197565
81,0.00676660783084064,0.005751213402951392,0.05533330456339654,4.8,14.4,0.6413820619752381,1.3986408688089327,0.62,0.04505692556264904
