Family,Consensus RMSE vs truth,Collective exp-fit RMSE vs truth,Single-capture exp-fit RMSE vs truth,Collective boundary MAE (samples),Single boundary MAE (samples),Collective pole log-MAE,Single pole log-MAE,Alignment lag MAE (samples),Median pointwise spread
46,0.011003209616879202,0.01000201903144774,0.07405373292527423,9.8,11.4,0.8422695040823243,1.322133114534246,0.53,0.04469283948670708
47,0.015778488087116876,0.013499040769320379,0.061458765759608444,25.6,8.0,0.5000469243102809,1.210032059075762,1.49,0.04405018783712011
48,0.008472644223909784,0.007900587744956727,0.05206157775973092,0.6,6.2,0.17390640578015348,1.709175224589992,0.66,0.044533633913480156
49,0.00797873602400883,0.009233522370426316,0.016935394253732937,1.8,6.6,0.16330981257090293,0.564237346426634,0.16,0.04387189447899925
50,0.006568401070799885,0.005874103167051758,0.020657473248775093,4.8,5.4,0.4631782501364367,0.864428180193438,0.22,0.04417922442688248
51,0.0073013772649696326,0.005737173810614023,0.035110515207180275,3.4,11.0,0.3247142432369925,1.4189978409315707,0.92,0.04552721952817186
52,0.008419397223696803,0.007561360201649996,0.03320423410200204,1.8,2.6,0.1494822175722943,0.826356526934438,1.0,0.04560543935833282
53,0.01570225667589037,0.01531212834278382,0.03103835510101765,4.6,13.8,0.320202426849216,1.498535493038733,1.41,0.043995974129149476
54,0.009370517452514313,0.011244519724415947,0.032692195071924245,5.8,8.8,0.6223366624877837,0.5464832865751302,0.97,0.043421302704936764
55,0.005988374846057372,0.0072321497157221614,0.03515714839341258,25.6,9.6,0.8673562513369593,1.3606331611880755,1.56,0.044878687633656336
56,0.007747288858903559,0.008183573331288885,0.028226331864073365,3.6,15.2,0.5509530644515096,1.386459106827152,0.64,0.04490097937289002
57,0.009238050503536124,0.00839662185911073,0.04407378721426448,31.2,9.0,1.3121298808417543,1.5160701092322866,0.93,0.046854339060912464
58,0.009003075025142176,0.007879758351558611,0.026144214287680448,0.8,2.2,0.2589838914739743,0.5290706443054137,0.4,0.04685808497931512
59,0.016809184729541186,0.015615656081420747,0.029382825966691718,3.4,20.6,0.27343352544126026,1.6796853382244603,2.41,0.045038143342518336
