Family,Region,True pole,Collective fitted pole,Single fitted pole,True start,Collective fitted start,Single fitted start
41,2,-26.576342217310984,-26.06982374322739,-22.084531217233312,29,30,33
41,3,-7.94645280257334,-6.363761000398675,-0.8,71,72,90
41,4,-25.87374845000627,-18.708470141140005,-0.8,101,102,126
41,5,-8.964380950831798,-8.161852192338433,-5.857184518803278,131,141,156
41,6,-5.972072256076026,-0.8,-0.8,210,198,213
42,1,-6.021009670796246,-5.390933205247584,-20.326529287084,0,0,0
42,2,-3.7288688265184837,-0.8,-55.0,44,48,21
42,3,-6.231556691897799,-3.0164023204439605,-55.0,93,93,75
42,4,-2.200561610839306,-50.621817587743905,-17.219213869646232,124,120,96
42,5,-11.739672049732356,-11.373353698474634,-26.06982374322739,149,150,150
42,6,-2.6752116532349652,-1.9923447578396105,-12.357012909144409,179,183,195
43,1,-2.262854664688467,-1.833747507331901,-1.429765033320657,0,0,0
43,2,-4.444765882946885,-4.566821541792708,-55.0,40,42,36
43,3,-13.50600004904985,-12.357012909144409,-55.0,96,99,78
43,4,-3.1035449466425993,-5.857184518803278,-12.357012909144409,121,126,99
43,5,-4.90930389495092,-4.203287400807451,-15.848507336610563,149,150,153
43,6,-9.406936720071357,-8.161852192338433,-7.512141688339704,206,207,204
44,1,-22.959514686472644,-20.326529287084,-10.467997023365006,0,0,0
44,2,-33.83695136445387,-36.32770102930122,-18.708470141140005,26,27,24
44,3,-2.2254136809037703,-2.5552850631330246,-0.8,74,75,81
44,4,-15.023219884263826,-13.425746889173139,-18.708470141140005,132,132,132
44,5,-2.316996331144426,-3.560731086348484,-0.8,162,159,159
44,6,-2.8493465543480654,-0.8,-46.592153016123966,206,207,213
45,1,-9.040948180581868,-10.467997023365006,-0.8,0,0,0
45,2,-27.780848631973768,-26.06982374322739,-20.326529287084,44,45,42
45,3,-2.4308840595642147,-4.203287400807451,-30.774287365112826,93,93,90
45,4,-18.46505675360588,-18.708470141140005,-4.566821541792708,123,123,117
45,5,-12.828912786147965,-12.357012909144409,-0.8,149,150,162
45,6,-17.168880112320025,-17.219213869646232,-14.586913589671289,189,189,189
46,1,-7.078245747584296,-3.560731086348484,-0.8,0,0,0
46,2,-6.33918459985006,-6.363761000398675,-8.161852192338433,28,30,24
46,3,-13.912751701609405,-18.708470141140005,-0.8,80,84,81
46,4,-8.19668325821082,-42.88326310913597,-50.621817587743905,114,132,132
46,5,-8.355613025513719,-0.8,-14.586913589671289,159,183,189
46,6,-18.388281411906167,-17.219213869646232,-23.99457931044167,212,213,216
47,1,-33.3119199586718,-23.99457931044167,-30.774287365112826,0,0,0
47,2,-17.183528158295086,-42.88326310913597,-55.0,43,21,51
47,3,-7.461948211156639,-17.219213869646232,-17.219213869646232,101,45,102
47,4,-4.8455084249186005,-6.9141502952803435,-28.32455202526461,137,102,153
47,5,-5.275404528527645,-8.161852192338433,-0.8,164,159,174
47,6,-9.290496518874663,-8.161852192338433,-42.88326310913597,205,195,210
48,1,-14.773779827970975,-13.425746889173139,-9.634709742287807,0,0,0
48,2,-17.61680038056442,-15.848507336610563,-9.634709742287807,58,57,54
48,3,-15.737118351341332,-15.848507336610563,-0.8,107,108,99
48,4,-25.376698278286295,-22.084531217233312,-0.8,140,141,150
48,5,-6.500394383552661,-4.961797042613721,-13.425746889173139,174,174,171
48,6,-3.911976882275084,-2.5552850631330246,-30.774287365112826,201,201,207
49,1,-21.14766612164931,-22.084531217233312,-22.084531217233312,0,0,0
49,2,-7.956231983788046,-8.161852192338433,-8.161852192338433,44,51,51
49,3,-12.162590757714536,-10.467997023365006,-11.373353698474634,109,108,108
49,4,-4.274351099026264,-3.868691783137035,-3.868691783137035,138,138,135
49,5,-4.433046829898236,-4.961797042613721,-39.46961313959834,173,174,174
49,6,-2.0962824313518857,-1.2111969310832655,-0.8,198,198,219
50,1,-23.63203293028627,-22.084531217233312,-17.219213869646232,0,0,0
50,2,-15.94242135466471,-14.586913589671289,-17.219213869646232,28,27,27
50,3,-4.749889625574856,-4.566821541792708,-4.566821541792708,59,60,63
50,4,-3.8360344029702107,-0.8,-0.8,135,117,120
50,5,-30.334079818306712,-22.084531217233312,-2.7762866915774826,176,174,171
50,6,-5.580722985377668,-2.7762866915774826,-12.357012909144409,206,204,204
51,1,-3.2717187496991125,-2.3518758972837563,-0.8,0,0,0
51,2,-12.799344076140539,-12.357012909144409,-17.219213869646232,27,27,33
51,3,-7.08020138433144,-5.857184518803278,-0.8,58,66,78
51,4,-6.010548622757321,-6.9141502952803435,-55.0,124,123,120
51,5,-5.581722542059089,-3.0164023204439605,-0.8,167,168,150
51,6,-7.094225525190867,-13.425746889173139,-11.373353698474634,206,213,198
52,1,-2.549591710289098,-1.9923447578396105,-0.8,0,0,0
52,2,-6.21233237021804,-7.512141688339704,-55.0,26,27,24
52,3,-26.33157649540544,-23.99457931044167,-30.774287365112826,55,54,54
52,4,-3.85342678662352,-4.566821541792708,-8.86775489245368,114,111,111
52,5,-9.166645901339562,-8.86775489245368,-10.467997023365006,169,168,165
52,6,-15.873223137594016,-18.708470141140005,-26.06982374322739,201,204,204
53,1,-24.653180449458695,-20.326529287084,-18.708470141140005,0,0,0
53,2,-10.507462556188866,-8.86775489245368,-2.7762866915774826,38,39,45
53,3,-2.198284747505141,-1.833747507331901,-0.8,65,81,102
53,4,-31.33869340272291,-30.774287365112826,-9.634709742287807,135,138,126
53,5,-3.015406024413359,-0.8,-55.0,185,186,180
53,6,-5.56736681354234,-5.390933205247584,-55.0,212,210,201
54,1,-8.109366573323117,-13.425746889173139,-6.363761000398675,0,0,0
54,2,-19.934299292085115,-20.326529287084,-10.467997023365006,28,30,30
54,3,-6.781470108296649,-0.8,-1.1147816383296778,105,87,87
54,4,-31.19356801730187,-11.373353698474634,-55.0,130,123,141
54,5,-18.351133648519724,-17.219213869646232,-18.708470141140005,165,165,162
54,6,-4.564818346606949,-4.566821541792708,-4.566821541792708,193,195,183
55,1,-4.238937272350966,-0.8,-1.1147816383296778,0,0,0
55,2,-11.514717408966796,-10.467997023365006,-6.9141502952803435,28,30,21
55,3,-2.9455377762574444,-0.8,-0.8,74,87,54
55,4,-4.964488098081649,-3.0164023204439605,-0.8,100,135,96
55,5,-2.9325380635937983,-2.3518758972837563,-36.32770102930122,136,171,132
55,6,-2.989723796503982,-12.357012909144409,-5.857184518803278,170,213,183
56,1,-32.87269918921201,-30.774287365112826,-55.0,0,0,0
56,2,-8.746105747917746,-7.512141688339704,-55.0,32,33,39
56,3,-4.258655976922772,-0.8,-26.06982374322739,65,66,90
56,4,-2.739484808302817,-2.164658775660178,-0.8,91,105,132
56,5,-24.45591710948415,-22.084531217233312,-23.99457931044167,163,162,165
56,6,-2.3511976387878,-0.8,-42.88326310913597,214,213,213
57,1,-2.3227856397063156,-0.8,-55.0,0,0,0
57,2,-7.40885360810956,-2.164658775660178,-10.467997023365006,33,57,30
57,3,-3.2310590862732087,-3.868691783137035,-55.0,61,111,81
57,4,-3.623004558444,-13.425746889173139,-9.634709742287807,107,153,105
57,5,-18.617468954147903,-0.8,-22.084531217233312,154,174,153
57,6,-11.072829661034119,-28.32455202526461,-55.0,179,195,198
58,1,-2.654928358530252,-0.8,-6.9141502952803435,0,0,0
58,2,-16.97424056881095,-13.425746889173139,-17.219213869646232,27,27,27
58,3,-9.995824453244447,-9.634709742287807,-15.848507336610563,52,51,54
58,4,-14.801726638205748,-14.586913589671289,-10.467997023365006,106,108,105
58,5,-23.487065020092494,-22.084531217233312,-6.9141502952803435,152,153,144
58,6,-12.272868660411545,-12.357012909144409,-14.586913589671289,183,183,183
59,1,-13.697440212256742,-10.467997023365006,-0.8,0,0,0
59,2,-10.644854993835338,-11.373353698474634,-0.8,41,45,27
59,3,-14.393175933459299,-12.357012909144409,-26.06982374322739,78,81,48
59,4,-4.378699682230569,-7.512141688339704,-9.634709742287807,135,138,105
59,5,-3.6772334544251435,-1.9923447578396105,-0.8,165,168,162
59,6,-18.701537906538405,-18.708470141140005,-3.2772850824025843,209,213,183
60,1,-8.358146201810817,-6.9141502952803435,-3.560731086348484,0,0,0
60,2,-6.6129913650506404,-5.857184518803278,-0.8,36,36,36
60,3,-2.6996453087977246,-3.0164023204439605,-15.848507336610563,76,75,78
60,4,-9.455852321067546,-10.467997023365006,-8.86775489245368,107,111,117
60,5,-9.259942785390288,-8.86775489245368,-9.634709742287807,165,165,165
60,6,-9.338100585737434,-9.634709742287807,-8.161852192338433,206,207,204
61,1,-10.824950622151146,-9.634709742287807,-0.8,0,0,0
61,2,-10.376561918711998,-6.9141502952803435,-23.99457931044167,28,27,21
61,3,-13.71716227286076,-14.586913589671289,-10.467997023365006,66,66,66
61,4,-6.341602327807221,-6.363761000398675,-0.8,116,117,120
61,5,-5.010239091531045,-0.8,-0.8,181,174,162
61,6,-23.82906093742593,-23.99457931044167,-36.32770102930122,213,213,213
62,1,-32.24565490947435,-30.774287365112826,-39.46961313959834,0,0,0
62,2,-12.445095901036108,-15.848507336610563,-22.084531217233312,29,30,33
62,3,-2.8229955380385268,-0.8,-0.8,69,75,81
62,4,-2.621955210342359,-0.8,-55.0,98,132,138
62,5,-10.274886709008197,-9.634709742287807,-0.8,135,153,165
