label,command_time_s,current_onset_s,motion_onset_s,analog_threshold_time_s,digital_output_time_s,command_to_current_s,current_to_motion_s,actuation_delay_s,actuator_response_time_s,sensor_decision_delay_s,total_chain_latency_s,Case,command_to_current_ms,current_to_motion_ms,actuation_delay_ms,actuator_response_time_ms,sensor_decision_delay_ms,total_chain_latency_ms,actuation_z,travel_z,decision_z,total_z
m4_h_11,0.020039984310068013,0.021480000000000003,0.023600000000000003,0.036548489469404324,0.03718619593956666,0.0014400156899319894,0.0021200000000000004,0.0035600156899319897,0.012948489469404321,0.0006377064701623344,0.017146211629498646,Healthy baseline,1.4400156899319894,2.1200000000000006,3.5600156899319897,12.948489469404322,0.6377064701623345,17.146211629498644,2.0241548357999095,1.2588957753991548,-0.6459344332792727,0.7687011237822529
m4_h_12,0.019959958967369466,0.02134,0.02348,0.03640141196930706,0.03706560457070591,0.0013800410326305357,0.0021399999999999995,0.0035200410326305352,0.012921411969307059,0.0006641926013988483,0.017105645603336442,Healthy baseline,1.3800410326305357,2.1399999999999997,3.520041032630535,12.921411969307059,0.6641926013988484,17.10564560333644,1.1254320578524197,-0.35952021744996926,0.020174502422580207,0.23959551381246916
m4_h_13,0.02004000345743349,0.02142,0.023500000000000004,0.0364264433033498,0.03713420093099763,0.0013799965425665105,0.002080000000000002,0.0034599965425665125,0.012926443303349796,0.0007077576276478328,0.01709419747356414,Healthy baseline,1.3799965425665104,2.080000000000002,3.4599965425665125,12.926443303349796,0.7077576276478328,17.09419747356414,-0.22450699237717422,-0.058798531515785964,1.1158065148672127,0.09027673010990203
m4_h_14,0.01999998651959429,0.021380000000000003,0.02346,0.03637495186760867,0.03709267148580844,0.0013800134804057146,0.0020799999999999985,0.003460013480405713,0.012914951867608666,0.0007177196181997747,0.017092684966214154,Healthy baseline,1.3800134804057147,2.0799999999999983,3.460013480405713,12.914951867608666,0.7177196181997747,17.092684966214154,-0.22412619056606575,-0.7456390196494118,1.3663440835581737,0.07054898747130135
m4_h_15,0.01998003720003004,0.02136,0.02346,0.03641464968529796,0.03707533322619503,0.0013799627999699603,0.002100000000000001,0.0034799627999699614,0.012954649685297956,0.0006606835408970724,0.01709529602616499,Healthy baseline,1.3799627999699602,2.100000000000001,3.4799627999699614,12.954649685297955,0.6606835408970724,17.09529602616499,0.22438066620919214,1.6270904715804764,-0.0680760818276792,0.10460523104888239
m4_h_16,0.019979959102667016,0.02134,0.023420000000000003,0.03633667852757344,0.037095407765962374,0.0013600408973329856,0.002080000000000002,0.0034400408973329875,0.012916678527573437,0.0007587292383889332,0.017115448663295358,Healthy baseline,1.3600408973329856,2.080000000000002,3.4400408973329877,12.916678527573437,0.7587292383889332,17.115448663295357,-0.6731560648322753,-0.6424369481450362,2.397709299331116,0.3674575330892089
m4_h_17,0.02008001467307264,0.021480000000000003,0.023520000000000003,0.036439850773751475,0.03716264602861952,0.001399985326927363,0.00204,0.0034399853269273632,0.012919850773751473,0.0007227952548680416,0.017082631355546878,Healthy baseline,1.399985326927363,2.04,3.439985326927363,12.919850773751472,0.7227952548680416,17.082631355546877,-0.6744054161134566,-0.45283251903061505,1.4939930372282222,-0.06058098279589759
m4_h_18,0.020000000632584704,0.021400000000000002,0.02348,0.036402306126827405,0.037064894352454796,0.0013999993674152986,0.0020799999999999985,0.003479999367415297,0.012922306126827404,0.0006625882256273904,0.017064893719870092,Healthy baseline,1.3999993674152986,2.0799999999999983,3.479999367415297,12.922306126827404,0.6625882256273905,17.064893719870092,0.22520278697952573,-0.3060766267988735,-0.020174502422580207,-0.29193424640277216
m4_h_19,0.019980054482347902,0.02144,0.023520000000000003,0.03641295366049139,0.037164209675619765,0.001459945517652099,0.002080000000000002,0.003539945517652101,0.012892953660491386,0.0007512560151283765,0.017184155193271863,Healthy baseline,1.459945517652099,2.080000000000002,3.539945517652101,12.892953660491386,0.7512560151283765,17.184155193271863,1.572930930382963,-2.0604668318451664,2.2097626057238164,1.2636017673498847
m4_h_20,0.01998001045557104,0.021380000000000003,0.02338,0.03632476069876569,0.03695736609603817,0.0013999895444289645,0.0019999999999999983,0.003399989544428963,0.012944760698765687,0.0006326053972724802,0.01697735564046713,Healthy baseline,1.3999895444289645,1.9999999999999982,3.399989544428963,12.944760698765688,0.6326053972724801,16.97735564046713,-1.5736031373616668,1.0360280064561145,-0.7742230913417267,-1.433699740338247
