case,repeat,true_swell,detected_swell,status,classification,confidence,selected_window_samples,event_count,duration_s,max_excess,excess_area_s,equivalent_duration_s,median_correlation,median_rms_ratio,unknown_residual_energy
distorted_swell,16,True,True,distorted_swell_supported,distorted_swell_supported,0.9545639112138364,81,1,0.612,0.5149634385276204,0.2493412428053775,0.48419212734459777,0.9890982856796681,1.4421598860785545,11.529408096799003
distorted_swell,17,True,True,distorted_swell_supported,distorted_swell_supported,0.9662115757560487,81,1,0.529,0.4622836761871373,0.18748093309536254,0.405553868225856,0.9872647217347953,1.4076796937264502,12.008023108367668
distorted_swell,18,True,True,distorted_swell_supported,distorted_swell_supported,0.9488273917907112,81,1,0.499,0.43600123893802034,0.17810908424708444,0.4085059131504062,0.9883234093304643,1.3833593510135873,11.251232761302822
distorted_swell,19,True,True,distorted_swell_supported,distorted_swell_supported,0.9102497274203798,81,1,0.533,0.3974486561971815,0.16530132128701125,0.4159061018563421,0.9897263387409511,1.3164222341488994,10.037638095343135
distorted_swell,20,True,True,distorted_swell_supported,distorted_swell_supported,0.8958779826190909,81,1,0.358,0.3473324823690702,0.09152701218508098,0.2635141163901445,0.987917907082069,1.2825686751469578,10.443673046803557
distorted_swell,21,True,True,distorted_swell_supported,distorted_swell_supported,0.8990298894558714,81,1,0.555,0.38286125546531147,0.17181776366215973,0.4487729202406249,0.9870510602166022,1.3082320368046776,11.841427207013819
distorted_swell,22,True,True,distorted_swell_supported,distorted_swell_supported,0.9095184081432515,81,1,0.387,0.5524135583254453,0.15780530605578355,0.2856651573399927,0.9895740808435542,1.4322335438084877,10.35610605527893
distorted_swell,23,True,True,distorted_swell_supported,distorted_swell_supported,0.9010742672100744,81,1,0.586,0.3832166350041011,0.18583248277351644,0.4849280166857258,0.987254801164007,1.3137199905735262,12.60405911790738
distorted_swell,24,True,True,distorted_swell_supported,distorted_swell_supported,0.9494356625911332,81,1,0.362,0.4236019429702631,0.11100254237686519,0.2620444599439847,0.9885419100908728,1.3565598754766537,10.819286704365956
distorted_swell,25,True,True,distorted_swell_supported,distorted_swell_supported,0.9354576299250846,81,1,0.593,0.47521270842100627,0.22406940626502359,0.47151391849250224,0.9869188184836338,1.3969363487705586,12.57187703935751
distorted_swell,26,True,True,distorted_swell_supported,distorted_swell_supported,0.9143059369608636,81,1,0.598,0.5595324231876184,0.26296556799848,0.4699737800722662,0.9892509174157644,1.4498468427318782,12.111089773483032
distorted_swell,27,True,True,distorted_swell_supported,distorted_swell_supported,0.8775354208541012,81,1,0.379,0.3199907386365557,0.09680258400872126,0.3025168303969862,0.990002119754641,1.2539115799145018,10.045539722809687
distorted_swell,28,True,True,distorted_swell_supported,distorted_swell_supported,0.9111043942528382,81,1,0.398,0.5210636081653914,0.16190123017012878,0.3107129871152689,0.9885433633085016,1.4023405771295656,12.439934121457732
distorted_swell,29,True,True,distorted_swell_supported,distorted_swell_supported,0.9493699446444606,81,1,0.47000000000000003,0.540434814495323,0.19127017881929226,0.3539190549704076,0.9893512459291812,1.4354156942873728,11.577465837876177
distorted_swell,30,True,True,distorted_swell_supported,distorted_swell_supported,0.9036533298816493,81,1,0.5750000000000001,0.4388867178213868,0.2099849121637539,0.47844900207076035,0.9887547592182648,1.3550549651452446,11.447173864131601
