case,repeat,true_interruption,detected_interruption,status,selected_window_samples,confidence,true_retained_pu,duration_s,minimum_retained_rms_pu,median_retained_rms_pu,subtype
instantaneous_interruption,21,True,True,instantaneous_interruption,9,0.5880340130154365,0.03880434929805216,0.1388888888888889,0.03014137079651344,0.04119659716957563,instantaneous_interruption
instantaneous_interruption,22,True,True,instantaneous_interruption,9,0.8898334235418429,0.006019182153038269,0.22666666666666666,0.004312963556884422,0.011016657645754092,instantaneous_interruption
instantaneous_interruption,23,True,True,instantaneous_interruption,31,0.3541237053119591,0.06742630396398541,0.15444444444444444,0.0586165474324033,0.06458762932642602,instantaneous_interruption
instantaneous_interruption,24,True,True,instantaneous_interruption,9,0.698071788135292,0.029003800047843933,0.12777777777777777,0.014293425163864419,0.03019281430104841,instantaneous_interruption
instantaneous_interruption,25,True,True,instantaneous_interruption,9,0.8146204325928125,0.016718299717212823,0.4033333333333333,0.005251725332207046,0.01853795674071876,instantaneous_interruption
instantaneous_interruption,26,True,True,instantaneous_interruption,9,0.6666971069239022,0.029630262681061014,0.21444444444444444,0.01370059340661963,0.03333028930740967,instantaneous_interruption
instantaneous_interruption,27,True,True,instantaneous_interruption,9,0.758977521256595,0.021453820421015762,0.07333333333333333,0.01702982520619501,0.024097099389412548,instantaneous_interruption
instantaneous_interruption,28,True,True,instantaneous_interruption,17,0.3874613546755916,0.06339231905819841,0.17555555555555555,0.054311633225644834,0.061253864520072726,instantaneous_interruption
instantaneous_interruption,29,True,True,instantaneous_interruption,9,0.7675096698891669,0.022247549848142967,0.1922222222222222,0.014367483057817805,0.023249033007767646,instantaneous_interruption
momentary_interruption,0,True,True,momentary_interruption,9,0.46249646827033314,0.0526206649689677,1.9544444444444444,0.030583932397377125,0.05375035317296669,momentary_interruption
momentary_interruption,1,True,True,momentary_interruption,17,0.7101679903432728,0.02692249933449293,1.0144444444444445,0.018351099194999245,0.028983200965672716,momentary_interruption
momentary_interruption,2,True,True,momentary_interruption,9,0.5220013339319208,0.04787723344061667,2.2266666666666666,0.024806207709708202,0.04779986660680792,momentary_interruption
momentary_interruption,3,True,True,momentary_interruption,9,0.5244358412795659,0.046472254955731006,0.9666666666666667,0.026764049642633538,0.047556415872043414,momentary_interruption
momentary_interruption,4,True,True,momentary_interruption,9,0.6674981097483587,0.033463414055325706,2.1566666666666667,0.022513076929728714,0.033250189025164134,momentary_interruption
momentary_interruption,5,True,True,momentary_interruption,9,0.8324108211777173,0.015253194227401425,2.5277777777777777,0.003073745826612299,0.01675891788222827,momentary_interruption
momentary_interruption,6,True,True,momentary_interruption,9,0.8729636821980893,0.00776609514735295,1.9555555555555555,0.0026253811657505764,0.012703631780191073,momentary_interruption
momentary_interruption,7,True,True,momentary_interruption,9,0.8731722958064794,0.006750399699864254,1.031111111111111,0.00223200942068326,0.012682770419352056,momentary_interruption
momentary_interruption,8,True,True,momentary_interruption,9,0.44969876208196813,0.05629903101601821,2.537777777777778,0.03151862711965347,0.05503012379180319,momentary_interruption
momentary_interruption,9,True,True,momentary_interruption,9,0.732136213387574,0.02745220315018296,1.3288888888888888,0.011899190825526682,0.026786378661242602,momentary_interruption
