case,repeat,true_sag,detected_sag,status,selected_window_samples,alignment_lag_samples,alignment_correlation,event_count,confidence,classification,true_start_s,true_end_s,retained_gain,detected_start_s,detected_end_s,max_depth,deficit_area_s,entry_timescale_s,recovery_timescale_s,median_correlation,median_rms_ratio,unknown_residual_energy,start_error_s,end_error_s
distorted_sag,8,True,True,distorted_sag_supported,81,3,0.9908164835044647,1,0.8305392935997341,distorted_sag_supported,0.48725130509063413,0.7897568589542481,0.6335239639906121,0.446,0.8300000000000001,0.34780169364704105,0.10225790228114734,0.05226573733754859,0.022317002157400404,0.9940398882154413,0.6645473837540156,1.8340546202704027,-0.04125130509063413,0.040243141045751996
distorted_sag,9,True,True,clean_sag_supported,81,6,0.9963893018862319,1,0.8458104575334522,clean_sag_supported,0.6296553785069368,0.9667273489044965,0.7937522414725788,0.612,0.982,0.20305292127910812,0.06656274459508556,0.029998281478108037,0.02466778249859325,0.9977828335501822,0.8167074844567466,0.8881954801757295,-0.01765537850693677,0.015272651095503464
distorted_sag,10,True,True,clean_sag_supported,81,0,0.9954472603044192,1,0.8416055114453692,clean_sag_supported,0.5437504476735429,1.0902167412377894,0.7994852307846771,0.523,1.1420000000000001,0.1963598074956201,0.10029875183699266,0.04687323064679336,0.03963224098038706,0.9975289774771812,0.8043707389526915,0.9603288856968341,-0.020750447673542838,0.05178325876221068
distorted_sag,11,True,True,distorted_sag_supported,81,4,0.9909218598031463,1,0.786242544687669,distorted_sag_supported,0.7996337660311215,1.1601439572168544,0.6400415776836226,0.789,1.176,0.32077583286467504,0.11072334769425356,0.02197251948950133,0.02257273820830901,0.9918070271887925,0.6760149425209555,1.848332226532502,-0.010633766031121428,0.015856042783145563
distorted_sag,12,True,True,distorted_sag_supported,81,-4,0.9864457048398576,1,0.7482366042803098,distorted_sag_supported,0.5824352616009338,1.0683437659180623,0.6324697045223068,0.598,1.077,0.3406187087573783,0.14774999733689959,0.03621758892324068,0.02765085823872697,0.9906078112591685,0.681647570606972,2.438973785532949,0.015564738399066136,0.008656234081937608
distorted_sag,13,True,True,clean_sag_supported,81,-3,0.997028283012167,1,0.8230351410580189,clean_sag_supported,0.7432580466245666,1.0379130249638944,0.7818653239104545,0.715,1.073,0.21593295831098003,0.06192644645102263,0.05054427964858609,0.03673970931819978,0.9976294392126404,0.8136398018101075,0.8410280545908241,-0.028258046624566657,0.03508697503610558
distorted_sag,14,True,True,distorted_sag_supported,81,-3,0.9781835961292845,1,0.6707683676092858,distorted_sag_supported,0.781602262526053,1.3162426568428574,0.5387908598765802,0.783,1.347,0.43060376705512293,0.22142978948501946,0.020904973619234508,0.02313931393311592,0.9829043504905656,0.5816807677084713,3.1041551480785774,0.0013977374739470028,0.030757343157142625
distorted_sag,15,True,True,clean_sag_supported,81,-2,0.9941473410623675,1,0.8619899761090852,clean_sag_supported,0.7291330616465685,1.0799416130951727,0.7086492697513005,0.7020000000000001,1.11,0.2786053433744903,0.09257081278697864,0.03401740462188621,0.03262421074097068,0.9956945583929332,0.7252615276065725,1.2286120011910053,-0.02713306164656848,0.030058386904827428
distorted_sag,16,True,True,distorted_sag_supported,81,-3,0.9944549283523114,1,0.8354504945854229,distorted_sag_supported,0.7674793539472651,1.1665987040290737,0.7436973220154787,0.785,1.189,0.2505701803039365,0.08924516834044785,0.021126828045443337,0.02302052956846432,0.995533516390769,0.7520700854069481,1.4223022505131235,0.017520646052734956,0.022401295970926327
distorted_sag,17,True,True,distorted_sag_supported,81,-5,0.9953683859072514,1,0.8378997476657937,distorted_sag_supported,0.6801323023218189,1.006739240773364,0.7367895813386335,0.6980000000000001,1.05,0.22640952270255432,0.06481811914772173,0.02195128868042802,0.03665085440323395,0.9962380371813532,0.7798036628535725,1.3899845607084862,0.017867697678181194,0.04326075922663608
distorted_sag,18,True,True,clean_sag_supported,81,2,0.9968423005133835,1,0.8555441824855641,clean_sag_supported,0.7162854863433663,1.034516151029658,0.7848789087672422,0.7020000000000001,1.075,0.21532742290678764,0.0673366533824005,0.02719902984313335,0.0372854866549759,0.997537903948494,0.7856190744766545,0.8770601903070995,-0.014285486343366238,0.04048384897034185
distorted_sag,19,True,True,distorted_sag_supported,81,-6,0.9942674252142546,1,0.8818398814103576,distorted_sag_supported,0.771414973278,1.150758140426665,0.7291968270921316,0.788,1.171,0.26744016511504576,0.09174209644329367,0.021097327786164362,0.025845561809822542,0.9956738813688402,0.7440494578504384,1.2779885975347407,0.016585026722000018,0.02024185957333513
distorted_sag,20,True,True,distorted_sag_supported,81,-3,0.9955482925809244,1,0.8190528993795352,distorted_sag_supported,0.6580314159974338,1.0101417700973554,0.7510433599819069,0.653,1.054,0.22965142693133256,0.07305866813016045,0.03452079186118297,0.045301412415278484,0.9964297494460742,0.7686224677442415,1.3343735912940236,-0.00503141599743373,0.04385822990264465
distorted_sag,21,True,True,distorted_sag_supported,81,-7,0.9883122699048118,1,0.8335465646221499,distorted_sag_supported,0.6950609168093332,1.1318747809656795,0.6322057654977679,0.6930000000000001,1.258,0.3653788471131818,0.15531940301417765,0.027526241353372973,0.17095662219457539,0.9914932308877159,0.6480332150907545,1.6677574150484529,-0.0020609168093331798,0.1261252190343205
distorted_sag,22,True,True,clean_sag_supported,81,6,0.9973183967663707,1,0.8197395396326296,clean_sag_supported,0.6965379978281497,1.0600107479814276,0.8193390968988449,0.7000000000000001,1.077,0.17478154393134193,0.05741402002854681,0.025544114375230954,0.03213216105026867,0.9982171289582462,0.8386010394359625,0.7000753620526894,0.0034620021718503313,0.016989252018572376
distorted_sag,23,True,True,clean_sag_supported,81,-7,0.9951525185703292,1,0.8905046233811182,clean_sag_supported,0.7186091142430673,1.072671379357562,0.7497010105290286,0.7020000000000001,1.081,0.24777274190164877,0.0824999518002773,0.025065336283051833,0.029164499234945542,0.9963605983973643,0.7621115496631987,1.116902488078934,-0.016609114243067213,0.008328620642438
distorted_sag,24,True,True,clean_sag_supported,81,-4,0.9947274765058021,1,0.8634237609685749,clean_sag_supported,0.5961747472784437,1.1189337774194994,0.7779413303122749,0.61,1.158,0.2058971324144686,0.09932262974487524,0.027459027148709434,0.034016963407608215,0.9969137231012292,0.8062573420580843,1.1048806201302148,0.013825252721556325,0.03906622258050052
distorted_sag,25,True,True,distorted_sag_supported,81,-7,0.981994510918783,1,0.6686149020888861,distorted_sag_supported,0.616165298548111,0.9524043083855519,0.5283518543180464,0.607,0.985,0.4524454708168335,0.15053728702583405,0.02772814402586173,0.024289150304924456,0.9836698569649825,0.571220449310897,3.2542570512939135,-0.00916529854811099,0.032595691614448086
